x y z
0.000000 0.000000 0.981012
0.000000 0.428571 0.408040
0.000000 0.857143 2.255696
0.000000 1.285714 6.719447
0.000000 1.714286 7.831902
0.000000 2.142857 4.577765
0.000000 2.571429 1.510657
0.000000 3.000000 0.299871
0.428571 -3.000000 -0.234648
0.428571 -2.571429 -1.188449
0.428571 -2.142857 -3.590767
0.428571 -1.714286 -6.037529
0.428571 -1.285714 -4.866196
0.428571 -0.857143 -1.096766
0.428571 -0.428571 0.403487
0.428571 0.000000 0.198366
0.428571 0.428571 0.121549
0.428571 0.857143 1.824022
0.428571 1.285714 5.583021
0.428571 1.714286 6.516733
0.428571 2.142857 3.809569
0.428571 2.571429 1.257176
0.428571 3.000000 0.249555
0.857143 -3.000000 -0.143033
0.857143 -2.571429 -0.719240
0.857143 -2.142857 -2.166132
0.857143 -1.714286 -3.625367
0.857143 -1.285714 -2.780586
0.857143 -0.857143 0.013672
0.857143 -0.428571 1.784090
0.857143 0.000000 2.198500
0.857143 0.428571 1.882146
0.857143 0.857143 2.114702
0.857143 1.285714 3.645534
0.857143 1.714286 3.874609
0.857143 2.142857 2.218430
0.857143 2.571429 0.727605
0.857143 3.000000 0.144111
1.285714 -3.000000 -0.056117
1.285714 -2.571429 -0.280492
1.285714 -2.142857 -0.827748
1.285714 -1.714286 -1.283013
1.285714 -1.285714 -0.560205
1.285714 -0.857143 1.335883
1.285714 -0.428571 2.986062
1.285714 0.000000 3.592406
1.285714 0.428571 3.004402
1.285714 0.857143 2.141213
1.285714 1.285714 1.972690
1.285714 1.714286 1.689663
1.285714 2.142857 0.912914
1.285714 2.571429 0.294069
1.285714 3.000000 0.057858
1.714286 -3.000000 -0.014083
1.714286 -2.571429 -0.069772
1.714286 -2.142857 -0.195234
1.714286 -1.714286 -0.234623
1.714286 -1.285714 0.194380
1.714286 -0.857143 1.153805
1.714286 -0.428571 2.120030
1.714286 0.000000 2.514704
1.714286 0.428571 2.084847
1.714286 0.857143 1.311925
1.714286 1.285714 0.832254
1.714286 1.714286 0.546368
1.714286 2.142857 0.267548
1.714286 2.571429 0.083308
1.714286 3.000000 0.016180
2.142857 -3.000000 -0.002194
2.142857 -2.571429 -0.010668
2.142857 -2.142857 -0.025982
2.142857 -1.714286 -0.005095
2.142857 -1.285714 0.151029
2.142857 -0.857143 0.473873
2.142857 -0.428571 0.821123
2.142857 0.000000 0.968331
2.142857 0.428571 0.800074
2.142857 0.857143 0.481207
2.142857 1.285714 0.250987
2.142857 1.714286 0.129923
2.142857 2.142857 0.056070
2.142857 2.571429 0.016593
2.142857 3.000000 0.003157
2.571429 -3.000000 -0.000193
2.571429 -2.571429 -0.000890
2.571429 -2.142857 -0.001211
2.571429 -1.714286 0.007174
2.571429 -1.285714 0.042559
2.571429 -0.857143 0.113051
2.571429 -0.428571 0.191417
2.571429 0.000000 0.225238
2.571429 0.428571 0.185852
2.571429 0.857143 0.109578
2.571429 1.285714 0.051517
2.571429 1.714286 0.022265
2.571429 2.142857 0.008399
2.571429 2.571429 0.002328
2.571429 3.000000 0.000430
3.000000 -3.000000 -0.000006
3.000000 -2.571429 -0.000017
3.000000 -2.142857 0.000166
3.000000 -1.714286 0.001646
3.000000 -1.285714 0.006773
3.000000 -0.857143 0.016804
3.000000 -0.428571 0.028167
3.000000 0.000000 0.033125
3.000000 0.428571 0.027321
3.000000 0.857143 0.015948
3.000000 1.285714 0.007076
3.000000 1.714286 0.002693
3.000000 2.142857 0.000895
3.000000 2.571429 0.000230
3.000000 3.000000 0.000041
